,cover,title,author,publisher,isbn,timestamp,activity,details,library,return_date,due_date,score,number_of_pages
0,https://img1.od-cdn.com/ImageType-100/2390-1/{9BF1365F-E184-437E-8209-93A1F6F8133C}Img100.jpg,Gideon the Ninth,Tamsyn Muir,Tor Publishing Group,9781250313171,"February 27, 2023 1:52",Borrowed,21 days,Spokane Public Library,,2023-03-20 1:52:00,10,448
1,https://img1.od-cdn.com/ImageType-100/0293-1/{F522D10A-522B-4724-895F-6C33DCB2ABF9}IMG100.JPG,Improbable Magic for Cynical Witches,Kate Scelsa,Balzer + Bray,9780063137424,"February 25, 2023 22:48",Borrowed,21 days,Spokane Public Library,,2023-03-18 22:48:00,11,336
2,https://img1.od-cdn.com/ImageType-100/1219-1/{D3722B4F-7F0E-4ECC-A0B5-F41616A75132}IMG100.JPG,Charm,Tracy Wolff,"Tantor Media, Inc.",9781705295823,"February 24, 2023 16:29",Borrowed,21 days,Spokane Public Library,"February 24, 2023 16:29",2023-03-17 16:29:00,0,450
3,https://img1.od-cdn.com/ImageType-100/1219-1/{2A8E1816-FC76-4609-922D-A0E0377A73C1}IMG100.JPG,Court,Tracy Wolff,"Tantor Media, Inc.",9781705276464,"February 24, 2023 16:29",Borrowed,21 days,Spokane Public Library,"September 10, 2022 0:26",2023-03-17 16:29:00,-168,707
4,https://img1.od-cdn.com/ImageType-100/1219-1/{6DD9C963-FFD8-4D1B-AAE4-79C8813A1CD4}Img100.jpg,Covet,Tracy Wolff,"Tantor Media, Inc.",9781705219645,"February 24, 2023 16:29",Borrowed,21 days,Spokane Public Library,"July 11, 2022 4:48",2023-03-17 16:29:00,-229,704
5,https://img1.od-cdn.com/ImageType-100/0017-1/{15D1A3AA-B144-47FA-A487-F6EE6B0CD46A}Img100.jpg,The Angel Experiment,James Patterson,"Little, Brown Books for Young Readers",,"February 24, 2023 7:10",Borrowed,21 days,Spokane Public Library,,2023-03-17 7:10:00,13,445
6,https://img1.od-cdn.com/ImageType-100/1191-1/{B9F1A650-69A7-40C7-BC22-AEFFD340EDA1}Img100.jpg,Fire,Kristin Cashore,Books on Tape,9781101145708,"February 22, 2023 15:06",Borrowed,21 days,Spokane Public Library,"January 31, 2023 15:24",2023-03-15 15:06:00,-22,480
7,https://img1.od-cdn.com/ImageType-100/5054-1/{B99BCE6B-B316-420C-A1EB-1056DC9F3907}Img100.jpg,So This Is Ever After,F.T. Lukens,Simon & Schuster Audio,9781797136479,"February 20, 2023 2:45",Borrowed,21 days,Spokane Public Library,,2023-03-13 2:45:00,17,352
8,https://img1.od-cdn.com/ImageType-100/1523-1/{796DFB70-85C3-4747-9FD5-EEAD11FEDD45}Img100.jpg,The Forever Witness,Edward Humes,Penguin Publishing Group,9781524746292,"February 20, 2023 1:27",Borrowed,21 days,Spokane Public Library,"February 24, 2023 16:30",2023-03-13 1:27:00,4,384
9,https://img1.od-cdn.com/ImageType-100/1493-1/{09B7EB5E-E2C1-4910-8B45-985821E8A680}IMG100.JPG,Hell Bent,Leigh Bardugo,Macmillan Audio,9781250859365,"February 20, 2023 1:27",Borrowed,21 days,Spokane Public Library,,2023-03-13 1:27:00,17,481
10,https://img1.od-cdn.com/ImageType-100/0017-1/{CF2E13F8-7C64-46A9-9741-F1EC87A78FAA}Img100.jpg,The Cruel Prince,Holly Black,"Little, Brown Books for Young Readers",9780316310284,"February 18, 2023 14:40",Borrowed,21 days,Spokane Public Library,"August 11, 2022 21:41",2023-03-11 14:40:00,-191,384
11,https://img1.od-cdn.com/ImageType-100/2390-1/{E7374729-742E-415E-A904-38610244D538}IMG100.JPG,The Atlas Paradox,Olivie Blake,Tor Publishing Group,9781250855121,"February 17, 2023 15:27",Borrowed,21 days,Spokane Public Library,,2023-03-10 15:27:00,20,403
12,https://img1.od-cdn.com/ImageType-100/2390-1/{82359A93-64DF-4AB5-AF49-186A63DE3EFE}Img100.jpg,Ruin and Rising,Leigh Bardugo,Henry Holt and Co. (BYR),9780805097122,"February 16, 2023 1:22",Borrowed,21 days,Spokane Public Library,,2023-03-09 1:22:00,21,384
13,https://img1.od-cdn.com/ImageType-100/2390-1/{62922068-4F45-415E-818B-B5AE3F3A2697}Img100.jpg,Siege and Storm,Leigh Bardugo,Henry Holt and Co. (BYR),9780805097115,"February 16, 2023 1:22",Borrowed,21 days,Spokane Public Library,,2023-03-09 1:22:00,21,435
14,https://img1.od-cdn.com/ImageType-100/2390-1/{CAE032FE-26E1-4DC7-981E-E1DA93A3322F}Img100.jpg,Shadow and Bone,Leigh Bardugo,Henry Holt and Co. (BYR),9780805097108,"February 16, 2023 1:22",Borrowed,21 days,Spokane Public Library,,2023-03-09 1:22:00,21,408
15,https://img1.od-cdn.com/ImageType-100/1493-1/{58D4FF11-0FF3-426B-99C4-0CC86522E12B}IMG100.JPG,The Atlas Paradox,Olivie Blake,Macmillan Audio,9781250870797,"February 12, 2023 15:58",Borrowed,21 days,Spokane Public Library,,2023-03-05 15:58:00,25,403
16,https://img1.od-cdn.com/ImageType-100/2390-1/{7F2C5367-11CA-49C2-A9CD-0A3B1AF6D1E4}IMG100.JPG,Hell Bent,Leigh Bardugo,Flatiron Books,9781250313119,"February 10, 2023 23:43",Borrowed,21 days,Spokane Public Library,,2023-03-03 23:43:00,26,481
17,https://img1.od-cdn.com/ImageType-100/0293-1/{6A808141-976F-42BC-B996-452B6EF33244}Img100.jpg,Pumpkin,Julie Murphy,HarperCollins,9780062880475,"February 10, 2023 4:20",Borrowed,21 days,Spokane Public Library,"February 16, 2023 5:26",2023-03-03 4:20:00,6,336
18,https://img1.od-cdn.com/ImageType-100/2183-1/{0BBD5835-7B38-43A1-95D6-AE5CA1D9FB82}Img100.jpg,This Poison Heart,Kalynn Bayron,Bloomsbury Publishing,9781547603916,"February 10, 2023 4:05",Borrowed,21 days,Spokane Public Library,"February 16, 2023 5:26",2023-03-03 4:05:00,6,384
19,https://img1.od-cdn.com/ImageType-100/1219-1/{D3722B4F-7F0E-4ECC-A0B5-F41616A75132}IMG100.JPG,Charm,Tracy Wolff,"Tantor Media, Inc.",9781705295823,"February 10, 2023 3:34",Borrowed,21 days,Spokane Public Library,"February 24, 2023 16:29",2023-03-03 3:34:00,14,450
20,https://img1.od-cdn.com/ImageType-100/1219-1/{2A8E1816-FC76-4609-922D-A0E0377A73C1}IMG100.JPG,Court,Tracy Wolff,"Tantor Media, Inc.",9781705276464,"February 10, 2023 3:34",Borrowed,21 days,Spokane Public Library,"September 10, 2022 0:26",2023-03-03 3:34:00,-154,707
