cover,title,author,publisher,isbn,timestamp,activity,details,library
https://img1.od-cdn.com/ImageType-100/1191-1/{B9F1A650-69A7-40C7-BC22-AEFFD340EDA1}Img100.jpg,Fire,Kristin Cashore,Books on Tape,9781101145708,"February 28, 2023 02:09",Returned, 15 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1060-1/{B8E993E1-7D88-4AF2-A305-B467ED6A73FC}Img100.jpg,Graceling,Kristin Cashore,Full Cast Audio,"","February 28, 2023 02:09",Returned, 14 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1219-1/{02EF0750-A967-493C-AA14-B292C33C1DC3}Img100.jpg,Crush,Tracy Wolff,"Tantor Media, Inc.",9781705219621,"February 28, 2023 00:39",Returned, 3 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/2390-1/{9BF1365F-E184-437E-8209-93A1F6F8133C}Img100.jpg,Gideon the Ninth,Tamsyn Muir,Tor Publishing Group,9781250313171,"February 27, 2023 01:52",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1694-1/{4456BD6C-F0C4-4C7B-80E9-6BD545931BE7}IMG100.JPG,Gideon the Ninth,Tamsyn Muir,"Recorded Books, Inc.",9781980004905,"February 26, 2023 02:31",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/2390-1/{9BF1365F-E184-437E-8209-93A1F6F8133C}Img100.jpg,Gideon the Ninth,Tamsyn Muir,Tor Publishing Group,9781250313171,"February 26, 2023 02:31",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1493-1/{92C63301-D9D7-48B6-8A98-D60D35CDF6F5}Img100.jpg,The House in the Cerulean Sea,TJ Klune,Macmillan Audio,9781250264299,"February 25, 2023 22:48",Returned, 2 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0293-1/{F522D10A-522B-4724-895F-6C33DCB2ABF9}IMG100.JPG,Improbable Magic for Cynical Witches,Kate Scelsa,Balzer + Bray,9780063137424,"February 25, 2023 22:48",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/2390-1/{F2755D16-8265-4B7E-8D4E-FB707E22F77E}Img100.jpg,Crooked Kingdom,Leigh Bardugo,Henry Holt and Co. (BYR),9781627797917,"February 24, 2023 16:33",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/2390-1/{F2755D16-8265-4B7E-8D4E-FB707E22F77E}Img100.jpg,Crooked Kingdom,Leigh Bardugo,Henry Holt and Co. (BYR),9781627797917,"February 24, 2023 16:33",Returned, 3 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1523-1/{796DFB70-85C3-4747-9FD5-EEAD11FEDD45}Img100.jpg,The Forever Witness,Edward Humes,Penguin Publishing Group,9781524746292,"February 24, 2023 16:30",Returned, 16 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1219-1/{D3722B4F-7F0E-4ECC-A0B5-F41616A75132}IMG100.JPG,Charm,Tracy Wolff,"Tantor Media, Inc.",9781705295823,"February 24, 2023 16:29",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1219-1/{2A8E1816-FC76-4609-922D-A0E0377A73C1}IMG100.JPG,Court,Tracy Wolff,"Tantor Media, Inc.",9781705276464,"February 24, 2023 16:29",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1219-1/{6DD9C963-FFD8-4D1B-AAE4-79C8813A1CD4}Img100.jpg,Covet,Tracy Wolff,"Tantor Media, Inc.",9781705219645,"February 24, 2023 16:29",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1219-1/{D3722B4F-7F0E-4ECC-A0B5-F41616A75132}IMG100.JPG,Charm,Tracy Wolff,"Tantor Media, Inc.",9781705295823,"February 24, 2023 16:29",Returned, 6 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1219-1/{2A8E1816-FC76-4609-922D-A0E0377A73C1}IMG100.JPG,Court,Tracy Wolff,"Tantor Media, Inc.",9781705276464,"February 24, 2023 16:29",Returned, 6 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1219-1/{6DD9C963-FFD8-4D1B-AAE4-79C8813A1CD4}Img100.jpg,Covet,Tracy Wolff,"Tantor Media, Inc.",9781705219645,"February 24, 2023 16:28",Returned, 6 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0017-1/{15D1A3AA-B144-47FA-A487-F6EE6B0CD46A}Img100.jpg,The Angel Experiment,James Patterson,"Little, Brown Books for Young Readers","","February 24, 2023 07:10",Borrowed, 21 days ,Spokane Public Library
